id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
64855-2024,ZCTA 64855,64855,US,37.336855,-94.513011,100.69397153495709,OK,966,108,14.73,-33.74,6.07,1158.0
13478-2024,ZCTA 13478,13478,US,43.144012,-75.581897,100.68759110597631,OK,1203,116,-7.82,-11.45,-6.92,846.0
50216-2024,ZCTA 50216,50216,US,41.697256,-94.354815,100.68081548723893,OK,997,154,3.1,-21.83,-0.16,1102.0
13338-2024,ZCTA 13338,13338,US,43.528032,-74.987121,100.66705832908715,OK,522,60,-3.87,-7.69,-2.41,640.0
64748-2024,ZCTA 64748,64748,US,37.364764,-94.102264,100.66482251370951,OK,375,110,7.76,-38.89,-6.94,763.0
22503-2024,ZCTA 22503,22503,US,37.750474,-76.515338,100.65768215480482,OK,1857,201,12.48,-28.72,-2.88,1094.0
41332-2024,ZCTA 41332,41332,US,37.807378,-83.367278,100.64803156993104,OK,281,35,-8.77,-10.26,-12.41,1053.0
01531-2024,ZCTA 01531,1531,US,42.326183,-72.133431,100.64631918459287,OK,343,39,5.21,-27.78,2.02,1484.0
56319-2024,ZCTA 56319,56319,US,46.01085,-95.215785,100.64300200494529,OK,531,56,-4.32,-11.11,-10.05,1071.0
27885-2024,ZCTA 27885,27885,US,35.420015,-76.247278,100.63688113180407,OK,289,86,-10.25,-21.1,-23.33,1394.0
46928-2024,ZCTA 46928,46928,US,40.405898,-85.682305,100.62715438364208,OK,1659,269,7.73,-31.03,-2.14,895.0
49435-2024,ZCTA 49435,49435,US,43.024453,-85.835175,100.62151239201586,OK,1204,88,-3.76,-12.87,-3.06,1084.0
70722-2024,ZCTA 70722,70722,US,30.854787,-90.945939,100.62121571868481,OK,1621,320,-8.93,-18.16,-7.3,1069.0
43154-2024,ZCTA 43154,43154,US,39.60391,-82.829648,100.60541830755471,OK,1097,88,4.98,-21.43,2.45,1134.0
29664-2024,ZCTA 29664,29664,US,34.860888,-83.157553,100.58347874735476,OK,564,137,-5.53,-18.93,-2.52,798.0
37880-2024,ZCTA 37880,37880,US,35.700908,-84.660106,100.57185392541453,OK,1486,173,-2.24,-14.78,-0.55,693.0
52567-2024,ZCTA 52567,52567,US,40.93172,-92.072191,100.5468456586357,OK,219,38,7.88,-30.91,-2.61,946.0
07642-2024,ZCTA 07642,7642,US,41.007127,-74.045119,100.5457931986198,OK,3229,249,5.42,-24.55,3.54,1764.0
80535-2024,ZCTA 80535,80535,US,40.736224,-105.191062,100.54179740534923,OK,795,170,-1.73,-30.61,-8.43,1349.0
84023-2024,ZCTA 84023,84023,US,40.903341,-109.217325,100.52690771249202,OK,21,17,5.0,-15.0,-3.97,235.0
62311-2024,ZCTA 62311,62311,US,40.222576,-90.935227,100.51950807983502,OK,340,58,5.59,-28.4,-2.04,617.0
83622-2024,ZCTA 83622,83622,US,44.101355,-115.884587,100.51930370300795,OK,880,103,2.92,-16.94,-0.34,976.0
87508-2024,ZCTA 87508,87508,US,35.52063,-105.945842,100.51720993909044,OK,6902,553,2.25,-21.67,0.48,1623.0
29726-2024,ZCTA 29726,29726,US,34.860853,-81.236148,100.5113174199071,OK,614,106,-0.49,-28.86,-7.28,1528.0
43525-2024,ZCTA 43525,43525,US,41.466681,-83.701137,100.50703341980552,OK,423,42,4.96,-23.64,1.04,996.0
64689-2024,ZCTA 64689,64689,US,39.875177,-94.151152,100.49870245004449,OK,154,18,0.0,-18.18,3.51,714.0
