id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
97438-2024,ZCTA 97438,97438,US,43.944242,-122.682456,STOCKOUT_RISK,40,186.79,378,85,66.43,14.94,-5.74,142.86,13.57,2257.0,ACS DP04 + ACS5 (national)
29329-2024,ZCTA 29329,29329,US,34.992453,-81.835984,STOCKOUT_RISK,40,186.67,44,83,22.92,43.23,-21.43,151.52,10.98,1077.0,ACS DP04 + ACS5 (national)
59489-2024,ZCTA 59489,59489,US,47.624666,-109.230405,STOCKOUT_RISK,40,186.09,162,41,73.97,18.72,5.88,141.18,12.31,543.0,ACS DP04 + ACS5 (national)
61435-2024,ZCTA 61435,61435,US,40.99561,-90.568639,STOCKOUT_RISK,40,185.26,38,49,38.78,50.0,46.15,96.0,38.03,708.0,ACS DP04 + ACS5 (national)
22740-2024,ZCTA 22740,22740,US,38.64569,-78.286953,STOCKOUT_RISK,40,184.97,346,187,46.76,25.27,21.83,117.44,26.93,1589.0,ACS DP04 + ACS5 (national)
37351-2024,ZCTA 37351,37351,US,35.100285,-85.260363,STOCKOUT_RISK,40,184.29,120,64,46.69,24.9,-34.43,166.67,-8.54,1205.0,ACS DP04 + ACS5 (national)
37313-2024,ZCTA 37313,37313,US,35.376389,-85.695496,STOCKOUT_RISK,40,184.04,592,85,78.93,11.33,2.96,142.86,8.38,488.0,ACS DP04 + ACS5 (national)
62432-2024,ZCTA 62432,62432,US,39.133517,-88.141763,STOCKOUT_RISK,40,183.81,239,12,78.1,3.92,5.29,140.0,8.9,1097.0,ACS DP04 + ACS5 (national)
95410-2024,ZCTA 95410,95410,US,39.23494,-123.699854,STOCKOUT_RISK,40,183.38,233,200,41.31,35.46,-13.38,140.96,17.01,902.0,ACS DP04 + ACS5 (national)
12222-2024,ZCTA 12222,12222,US,42.685261,-73.82323,STOCKOUT_RISK,40,182.78,0,97,0.0,86.61,0.0,79.63,107.41,2242.0,ACS DP04 + ACS5 (national)
10546-2024,ZCTA 10546,10546,US,41.196605,-73.800569,STOCKOUT_RISK,40,182.76,466,107,77.02,17.69,14.5,118.37,20.52,3501.0,ACS DP04 + ACS5 (national)
04576-2024,ZCTA 04576,04576,US,43.813339,-69.662868,STOCKOUT_RISK,40,182.73,267,32,29.24,3.5,-3.96,146.15,3.05,1094.0,ACS DP04 + ACS5 (national)
43746-2024,ZCTA 43746,43746,US,39.965416,-82.183858,STOCKOUT_RISK,40,182.5,293,97,75.13,24.87,-28.01,162.16,-12.16,860.0,ACS DP04 + ACS5 (national)
32359-2024,ZCTA 32359,32359,US,29.650039,-83.376036,STOCKOUT_RISK,85,182.42,561,55,28.51,2.79,-7.43,150.0,-4.84,1290.0,ACS DP04 + ACS5 (national)
73944-2024,ZCTA 73944,73944,US,36.581573,-101.103438,STOCKOUT_RISK,40,182.19,112,66,37.33,22.0,7.69,127.59,25.0,519.0,ACS DP04 + ACS5 (national)
15466-2024,ZCTA 15466,15466,US,40.07802,-79.888889,STOCKOUT_RISK,40,181.98,138,48,67.65,23.53,-19.3,152.63,-4.23,975.0,ACS DP04 + ACS5 (national)
50571-2024,ZCTA 50571,50571,US,42.634857,-94.580585,STOCKOUT_RISK,40,181.78,137,43,61.99,19.46,-7.43,138.89,13.92,1037.0,ACS DP04 + ACS5 (national)
67862-2024,ZCTA 67862,67862,US,37.488118,-101.952528,STOCKOUT_RISK,40,181.78,120,15,68.18,8.52,33.33,114.29,23.94,531.0,ACS DP04 + ACS5 (national)
56325-2024,ZCTA 56325,56325,US,45.562902,-94.947199,STOCKOUT_RISK,40,181.67,81,12,87.1,12.9,-1.22,140.0,2.2,1188.0,ACS DP04 + ACS5 (national)
05262-2024,ZCTA 05262,05262,US,42.973719,-73.075343,STOCKOUT_RISK,40,181.3,597,122,67.08,13.71,-12.72,148.98,-3.47,1077.0,ACS DP04 + ACS5 (national)
83632-2024,ZCTA 83632,83632,US,44.527024,-116.408436,STOCKOUT_RISK,40,180.54,133,70,55.42,29.17,14.66,118.75,20.6,790.0,ACS DP04 + ACS5 (national)
40346-2024,ZCTA 40346,40346,US,37.987118,-83.743879,STOCKOUT_RISK,40,180.45,174,93,49.01,26.2,-13.0,138.46,17.16,728.0,ACS DP04 + ACS5 (national)
64873-2024,ZCTA 64873,64873,US,37.010659,-94.053847,STOCKOUT_RISK,40,180.44,419,11,95.01,2.49,22.16,120.0,22.5,763.0,ACS DP04 + ACS5 (national)
36728-2024,ZCTA 36728,36728,US,32.169012,-87.483394,STOCKOUT_RISK,40,180.35,251,41,61.07,9.98,-1.57,141.18,2.49,566.0,ACS DP04 + ACS5 (national)
82322-2024,ZCTA 82322,82322,US,42.24648,-107.548191,STOCKOUT_RISK,40,180.33,59,21,60.82,21.65,-1.67,133.33,14.12,719.0,ACS DP04 + ACS5 (national)
10994-2024,ZCTA 10994,10994,US,41.098072,-73.972649,STOCKOUT_RISK,97,180.31,2072,131,91.08,5.76,-0.14,133.93,4.45,2085.0,ACS DP04 + ACS5 (national)
